idCustomer,Recency,Frequency,Monetary,R_score,F_score,M_score,R_label,F_label,M_label,Estado_1,Estado_2,Estado_3,Estado_4,Estado_5,Estado_6,Estado_7,Estado_8,Estado_9,Estado_10,Estado_11,Estado_12
1,9.0,20,1215.57,3,3,3,Moderadamente reciente,Moderada frecuencia,Moderado gasto,Activo,Recompra,Desercion,Regreso,Desercion,Repite desersion,Regreso,Recompra,Recompra,Recompra,Recompra,Recompra
2,18.0,17,1069.55,2,1,1,Poco reciente,Menos frecuente,Menor gasto,Activo,Recompra,Recompra,Recompra,Desercion,Regreso,Desercion,Regreso,Recompra,Desercion,Regreso,Recompra
3,7.0,24,1511.96,3,4,4,Moderadamente reciente,Más frecuente,Mayor gasto,Activo,Recompra,Recompra,Desercion,Regreso,Recompra,Desercion,Regreso,Recompra,Recompra,Recompra,Recompra
4,36.0,20,1246.31,1,3,3,Menos reciente,Moderada frecuencia,Moderado gasto,Activo,Recompra,Desercion,Regreso,Recompra,Recompra,Desercion,Regreso,Recompra,Recompra,Recompra,Desercion
5,6.0,10,611.26,4,1,1,Más reciente,Menos frecuente,Menor gasto,Null,Activo,Recompra,Desercion,Repite desersion,Repite desersion,Repite desersion,Repite desersion,Repite desersion,Regreso,Recompra,Recompra
6,19.0,17,1022.36,2,1,1,Poco reciente,Menos frecuente,Menor gasto,Null,Null,Activo,Recompra,Recompra,Recompra,Recompra,Recompra,Recompra,Recompra,Recompra,Recompra
7,19.0,15,991.58,2,1,1,Poco reciente,Menos frecuente,Menor gasto,Null,Activo,Recompra,Desercion,Regreso,Recompra,Recompra,Recompra,Recompra,Recompra,Desercion,Regreso
8,8.0,27,1589.46,3,4,4,Moderadamente reciente,Más frecuente,Mayor gasto,Activo,Recompra,Desercion,Regreso,Recompra,Recompra,Recompra,Recompra,Recompra,Recompra,Recompra,Recompra
9,7.0,17,1025.34,3,1,1,Moderadamente reciente,Menos frecuente,Menor gasto,Activo,Recompra,Recompra,Recompra,Desercion,Regreso,Desercion,Regreso,Recompra,Recompra,Recompra,Recompra
10,11.0,18,1123.63,3,2,2,Moderadamente reciente,Baja frecuencia,Bajo gasto,Activo,Recompra,Recompra,Desercion,Regreso,Recompra,Recompra,Desercion,Regreso,Recompra,Recompra,Recompra
11,14.0,18,1123.27,2,2,2,Poco reciente,Baja frecuencia,Bajo gasto,Activo,Recompra,Recompra,Desercion,Regreso,Recompra,Recompra,Recompra,Recompra,Recompra,Recompra,Recompra
12,1.0,22,1347.04,4,3,4,Más reciente,Moderada frecuencia,Mayor gasto,Activo,Desercion,Regreso,Recompra,Recompra,Recompra,Recompra,Recompra,Recompra,Recompra,Desercion,Regreso
13,9.0,21,1255.35,3,3,3,Moderadamente reciente,Moderada frecuencia,Moderado gasto,Activo,Desercion,Regreso,Recompra,Recompra,Desercion,Regreso,Recompra,Recompra,Recompra,Recompra,Recompra
14,47.0,17,1030.92,1,1,1,Menos reciente,Menos frecuente,Menor gasto,Activo,Recompra,Recompra,Recompra,Desercion,Regreso,Recompra,Recompra,Recompra,Recompra,Recompra,Desercion
15,39.0,12,710.34,1,1,1,Menos reciente,Menos frecuente,Menor gasto,Activo,Recompra,Recompra,Recompra,Desercion,Repite desersion,Repite desersion,Repite desersion,Repite desersion,Repite desersion,Regreso,Desercion
16,22.0,21,1350.85,2,3,4,Poco reciente,Moderada frecuencia,Mayor gasto,Activo,Recompra,Desercion,Repite desersion,Regreso,Recompra,Recompra,Recompra,Recompra,Recompra,Desercion,Regreso
17,6.0,23,1339.46,4,4,3,Más reciente,Más frecuente,Moderado gasto,Activo,Recompra,Recompra,Recompra,Recompra,Recompra,Recompra,Recompra,Recompra,Desercion,Regreso,Recompra
18,0.0,27,1669.88,4,4,4,Más reciente,Más frecuente,Mayor gasto,Activo,Desercion,Regreso,Recompra,Recompra,Recompra,Recompra,Recompra,Recompra,Desercion,Regreso,Recompra
19,22.0,21,1309.15,2,3,3,Poco reciente,Moderada frecuencia,Moderado gasto,Activo,Recompra,Recompra,Desercion,Regreso,Recompra,Recompra,Recompra,Recompra,Desercion,Regreso,Recompra
20,36.0,18,1137.69,1,2,2,Menos reciente,Baja frecuencia,Bajo gasto,Activo,Desercion,Regreso,Recompra,Recompra,Recompra,Desercion,Regreso,Recompra,Recompra,Recompra,Desercion
21,0.0,18,1074.76,4,2,1,Más reciente,Baja frecuencia,Menor gasto,Null,Activo,Recompra,Recompra,Recompra,Recompra,Recompra,Recompra,Recompra,Recompra,Recompra,Recompra
22,12.0,26,1552.71,3,4,4,Moderadamente reciente,Más frecuente,Mayor gasto,Activo,Recompra,Recompra,Recompra,Recompra,Recompra,Desercion,Regreso,Recompra,Recompra,Desercion,Regreso
23,29.0,19,1120.67,1,2,2,Menos reciente,Baja frecuencia,Bajo gasto,Activo,Recompra,Recompra,Recompra,Recompra,Recompra,Desercion,Regreso,Recompra,Recompra,Recompra,Recompra
